図表：１－１－１（刑法犯認知・検挙状況）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年次,S21,S22,S23,S24,S25,S26,S27,S28,S29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,153864,138947,131490,123847,115462,109238,102369,94144,88464,84360,,,,,,,,,,,,,,,,,,,,,,,,,,
,知能犯,認知件数,40235,43141,46027,43622,45778,47009,42594,36031,34065,36663,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,24105,22060,20355,20742,22276,20965,19691,19096,18153,19154,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,13665,13523,13125,13016,12876,12422,12280,10965,10547,12483,,,,,,,,,,,,,,,,,,,,,,,,,,
,風俗犯,認知件数,11986,12041,11915,11032,10385,9699,9112,8710,7723,7880,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,7635,7023,7412,7125,7311,7048,7091,6904,6549,6738,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,6204,5770,5678,5815,5817,5477,5643,5406,5202,5422,,,,,,,,,,,,,,,,,,,,,,,,,,
,その他の刑法犯,認知件数,217389,204474,184695,167088,149636,137897,119452,109794,98879,87926,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,64646,56601,52191,48871,44543,41444,38397,35080,33764,30279,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,55932,48325,43624,39727,35678,32546,29823,27078,25970,22959,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                   年次区分,,,R4,R5,R6,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刑法犯総数,,認知件数,601331,703351,737679,774142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙件数,250350,269550,287273,301055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,検挙人員,169409,183269,191826,200663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
